agent_type,episode_timestamp,step,previous_phase,duration,action_taken
dqn,2025-10-16T18:05:45.334531,1230,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1235,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1240,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1245,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1250,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1255,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1260,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1265,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1270,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1275,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1280,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1285,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1290,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1295,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1300,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1305,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1310,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1315,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1320,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1325,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1330,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1335,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1340,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1345,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1350,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1355,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1360,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1365,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1370,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1375,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1380,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1385,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1390,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1395,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1400,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1405,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1410,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1415,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1420,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1425,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1430,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1435,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1440,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1445,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1450,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1455,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1460,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1465,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1470,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1475,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1480,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1485,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1490,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1495,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1500,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1505,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1510,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1515,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1520,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1525,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1530,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1535,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1540,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1545,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1550,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1555,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1560,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1565,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1570,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1575,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1580,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1585,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1590,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1595,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1600,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1605,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1610,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1615,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1620,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1625,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1630,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1635,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1640,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1645,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1650,0.5,5,SWITCH
